crew_id,name,born_year,death_year,profession,known_for
nm1330914,Fatima Meer,1928,2010,writer,tt0200441|tt1149583|tt0328503|tt0116980
nm1347553,Vietnam Veetu Sundaram,1943,2016,writer|director|actor,tt3415156|tt1440179|tt1445071|tt0369447
nm1381505,Moti Sagar,1927,1999,actor|writer|producer,tt0268216|tt0339998|tt0368194|tt0268416
nm1389106,Ashapurna Devi,1909,1995,writer,tt0429768|tt0156861|tt0046686|tt0061467
nm1408315,Rajendra Yadav,1929,2013,writer,tt0064935
nm1479356,Mirza Ghalib,1797,1869,soundtrack|music_department|writer,tt0411469|tt0137958|tt1623662|tt0216000
nm1559999,Vaali,1931,2013,music_department|soundtrack|actor,tt0479651|tt0097416|tt0449951|tt3741834
nm1680373,Bimal Kar,1921,2003,writer,tt0157540|tt0465904|tt0237022|tt0314217
nm1773192,Honey Chhaya,1930,2016,actor|director|writer,tt1620719|tt0412308|tt0115019|tt1412386
nm2055188,Aspi Irani,1911,1986,director|producer|writer,tt0129370|tt0155161|tt0154189|tt0068620
nm2952841,Susumu Takaku,1933,2009,writer|miscellaneous,tt0072511|tt0185056|tt0167320|tt0111919
nm3099726,Qateel Shifai,1919,2001,music_department|soundtrack|writer,tt0113933|tt0118660|tt0374897|tt0154749
nm3435209,Anupam Mishra,1948,2016,director|writer|assistant_director,tt1886663|tt1424645|tt1618430
nm3794006,Poovannan,1932,2013,writer,tt0254354
nm3840083,Kartar Singh Duggal,1917,2012,writer,tt0823451
nm5556806,Asit Sen,1922,2001,director|writer|assistant_director,tt0398193|tt0148692|tt0321968|tt1524567
nm6598238,Abis Rizvi,1967,2017,producer|writer,tt5963908|tt3796006|tt6694980
